ID,Stage,Title,Existing_owner_reference,Depends_on,Status,Change,Acceptance_A,Acceptance_B
PHY-011,P02,Непрерывный bite и отпускание,CD-643 / CD-644 / CD-659,PHY-010,PLANNED,Настроить torque capacity и плавность сцепления; Q повторно прерывает отпускание; время отпускания хранить отдельно от текущего состояния.,Пять положений сцепления дают различимые плавные переходы нагрузки.,Повторный Q в середине отпускания размыкает сцепление без позднего импульса.
PHY-012,P02,Общий валидатор КПП,CD-643 / CD-644 / CD-659,PHY-011,PLANNED,Все способы запроса передачи проходят общую проверку скорости/нагрузки/сцепления; геометрию принятых ходов не менять.,50 смен не перескакивают через соседний канал программно.,Focus loss при запросе не приводит к отложенному включению.
PHY-013,P03,Передаточная функция руля,CD-649 / CD-611,PHY-012,PLANNED,"Развести скорость движения физического руля и чувствительность цели; стоя тяжелее, на малой скорости легче, на большой спокойнее.",Одинаковый малый ввод вправо ведёт вправо вперёд и геометрически верно назад.,Резкий осознанный контрруль остаётся доступен на скорости.
PHY-014,P03,Независимость от FPS,CD-649 / CD-611,PHY-013,PLANNED,Проверить единицы mouse delta и интеграцию по времени; убрать потерю импульсов и хвост накопленных движений.,Одинаковый временной trace при 30/60/120 FPS сравнивается по углу колёс.,После окончания trace руль не продолжает ехать из очереди старых дельт.
PHY-015,P03,Колесо и педальные кривые,CD-649 / CD-611,PHY-014,PLANNED,Сохранить burst acceleration с reset на паузе/реверсе; отдельный detent точен; отклик физической педали не должен отменять дозирование.,Q+W+E+wheel меняет только газ.,Один detent после смены направления не наследует максимальное ускорение серии.
PHY-016,P03,Регрессия владения руками,CD-649 / CD-611,PHY-015,PLANNED,"Проверить Space, RMB, LMB, recall и отпускание; не рефакторить работающие контексты ради новой физики.",LMB рычаг без RMB работает; после отпускания мышь рулит.,"Отпускание 1–4 убирает подсказку, не выполняя действия."
PHY-017,P04,Кривая момента и инерция,CD-648 / CD-644,PHY-016,PLANNED,"Измерить реальную тягу на колёсах; сравнить кривую, limiter и инерцию с желаемым ускорением, не добавлять внешний boost force.",0–30 и 0–60 быстрее исходной базы на согласованном кандидате.,Сброс газа даёт причинное замедление RPM и не оставляет boost.
PHY-018,P04,Передачи и радиус колеса,CD-648 / CD-644,PHY-017,PLANNED,Сверить реальные передаточные числа и rolling radius; построить таблицу скорость/RPM для 1–5/R.,Скорость в устойчивом режиме соответствует передаче и радиусу с учётом slip.,Пятая на малой скорости не получает скрытую помощь против заглохания.
PHY-019,P04,Тяга задним ходом,CD-648 / CD-644,PHY-018,PLANNED,"Сохранить R в правом нижнем канале; откалибровать дозирование и нагрузку, исключить самостоятельную инверсию управления.",25/50/100% газа в R дают предсказуемое различимое поведение.,"Переход R→N снимает привод, сохраняя инерцию."
PHY-020,P04,A/B ускорения под нагрузкой,CD-648 / CD-644,PHY-019,PLANNED,"Сравнить baseline/A/B при одинаковой массе, топливе, поверхности и вводе; оценить wheelspin, jerk, 30–60, 60–100.",Пять прогонов каждого кандидата имеют записанную медиану и разброс.,Выбранный разгон не достигнут тайным облегчением машины.
PHY-021,P05,Контакт и визуальные колёса,CD-562 / CD-732 / CD-855,PHY-020,PLANNED,"Проверить wheel centers, radius, suspension axis, skeleton scale и наличие всех шин; исключить коллизию кузова с дорогой при штатной высоте.",Четыре физических контакта соответствуют четырём видимым колёсам на ровном участке.,На полном ходе колесо не висит отдельно от ступицы и не проходит через кузов.
PHY-022,P05,Масса и центр тяжести,CD-562 / CD-732 / CD-855,PHY-021,PLANNED,"Проверить единицы, fuel/crew/passenger accumulation; проверить диагональные нагрузки и единственное применение массы.",1657 и 2107 кг используются только как документированные fixtures при корректном составе.,Повторная посадка/загрузка не удваивает массу пассажира.
PHY-023,P05,Тензор инерции,CD-562 / CD-732 / CD-855,PHY-022,PLANNED,Проверить pivot и размеры кузова; калибровать roll/pitch/yaw inertia без скрытого damping rescue.,Машина не меняет yaw мгновенно от малого движения руля.,"После снятия ввода нет внешнего импульса, выпрямляющего автомобиль."
PHY-024,P05,Импортный контракт трёх моделей,CD-562 / CD-732 / CD-855,PHY-023,PLANNED,"Разделить visual mesh и профиль физики; валидировать масштабы, сокеты, wheel transforms, коллизии и материалы.",Смена видимой модели не сбрасывает input context или двигатель.,Ошибочный wheel setup останавливает импорт с понятным отчётом.
PHY-025,P06,Статический ход,CD-648 / CD-732,PHY-024,PLANNED,Измерить sag пустой/с экипажем/полной машины; подобрать stiffness и preload в единицах Chaos.,Штатная масса оставляет запас на сжатие и отбои.,Полная масса не держит все колёса постоянно на ограничителе.
PHY-026,P06,Демпфирование,CD-648 / CD-732,PHY-025,PLANNED,Настроить сжатие/отбой в доступных штатных параметрах; не изображать физическую мягкость одним качанием камеры.,После одиночной неровности амплитуда последующих качаний убывает.,Серия неровностей не накапливает возрастающую раскачку.
PHY-027,P06,Баланс крена и клевка,CD-648 / CD-732,PHY-026,PLANNED,Откалибровать перенос нагрузки и сопротивление крену; не делать кузов неподвижным и не подменять шины yaw torque.,При торможении виден ограниченный клевок и сохраняется контакт.,В слаломе машина меняет крен плавно без щелчков и переворота от малого ввода.
PHY-028,P06,"Бордюр, яма, приземление",CD-648 / CD-732,PHY-027,PLANNED,Проверить контактную геометрию и ход на одиночном колесе; отделить обычный проезд от повреждающего удара.,Обычная неровность не телепортирует машину и не обрывает все контакты.,Сильное приземление даёт ограниченный физический отклик и причинное повреждение.
PHY-029,P07,Продольный и боковой grip,CD-648 / CD-653 / CD-740,PHY-028,PLANNED,"Сверить кривые slip, нормальную нагрузку и материал поверхности; мокрое покрытие должно отличаться предсказуемо.","Плавное наращивание газа вызывает постепенный срыв, не бинарный переключатель.",Восстановление grip не создаёт резкий snap без соответствующей нагрузки.
PHY-030,P07,Рабочий тормоз без ABS,CD-648 / CD-653 / CD-740,PHY-029,PLANNED,"Настроить усилие, баланс осей, дозирование и lock; сохранить W+E и независимые команды.",25/50/100% тормоза различаются по замедлению и блокировке.,При полной блокировке нет скрытой антиблокировочной модуляции.
PHY-031,P07,Ручник 0–1,CD-648 / CD-653 / CD-740,PHY-030,PLANNED,Проверить аналоговый момент до физики; сохранить принятые правила движения/парковочного удержания.,25/50/100% ручника создают различимые задние тормозные моменты.,Стоящая машина удерживается без превращения педали газа в автоматический stall.
PHY-032,P07,Тепло и износ по работе,CD-648 / CD-653 / CD-740,PHY-031,PLANNED,Clutch heat от slip torque×relative speed; brake heat от тормозного момента×вращения; ограничить злоупотребление без штрафа за нормальную езду.,Мотор крутится с разомкнутым сцеплением и стоящими колёсами: задние тормоза не греются от RPM.,"Длительное проскальзывание сцепления нагревает сцепление, а не произвольную систему."
PHY-033,P08,Граничные переходы,CD-670 / CD-740,PHY-032,PLANNED,"Проверить остановку/меню/focus loss/перезапуск при активных педалях, рычаге и ручнике.",Focus loss очищает временные нажатия без включения соседней передачи.,Возврат из меню не оставляет залипший газ от предыдущего кадра.
PHY-034,P08,Версия save schema,CD-670 / CD-740,PHY-033,PLANNED,"Сохранять engine state, износ и физические настройки по действующему контракту; переходные input buffers не восстанавливать.",Повреждения сцепления/КПП переживают save/load.,Старое сохранение мигрирует без скрытого ремонта и дублирования объектов.
PHY-035,P08,Ремонт и диагностика,CD-670 / CD-740,PHY-034,PLANNED,Связать измеренный дефект с предупреждением и конкретным действием ремонта; не добавлять бесплатный reset.,Ремонт тормоза не чинит случайно сцепление и не сбрасывает заказ.,Повторное применение транзакции ремонта не списывает деньги дважды.
PHY-036,P08,Длительный городской прогон,CD-670 / CD-740,PHY-035,PLANNED,30 минут обычной активной езды плюс полный двухчасовой shift soak на финале при поддерживаемом runtime.,Исправное авто проходит 30 минут без вынужденного ремонта.,"Двухчасовой прогон не накапливает ввод, память и необъяснимый износ."
PHY-037,P09,Схема профиля,CD-732 / CD-855,PHY-036,PLANNED,"Сделать явные version/model id, геометрию, mass/COM/inertia, torque/RPM, gear ratios, wheel/suspension, brakes и thermal capabilities.",Каждый параметр имеет единицу и владельца.,Неполный профиль не молча наследует неподходящую геометрию другой машины.
PHY-038,P09,Tatra 613 baseline,CD-732 / CD-855,PHY-037,PLANNED,Зафиксировать текущую модель как исходную для первой калибровки; отдельно пометить игровые модификации мощности.,Профиль reproduces принятый контроль и геометрию 613.,Изменение игрового motor tune не меняет радиус колеса и H-gate.
PHY-039,P09,Tatra 603 первой серии,CD-732 / CD-855,PHY-038,PLANNED,Подготовить самостоятельную геометрию и визуальные связи после измерения модели; не объявлять чужую массу исторически верной.,Колёса и центры подвески согласованы с конкретной моделью 603 I.,Одинаковые семантические команды проходят без model-specific веток input.
PHY-040,P09,Tatra 77,CD-732 / CD-855,PHY-039,PLANNED,Подготовить третью геометрию и калибровку с отдельным profile id; заводские данные требуются только для заявлений о исторической точности.,Смена 77↔613 не смешивает версии сохранённого профиля.,Все три машины проходят одинаковые Off/idle/clutch invariants.
PHY-041,P10,Общие порты систем салона,CD-722 / CD-670,PHY-040,PLANNED,"Определить семантические команды, readonly vehicle telemetry и сохраняемые состояния; не читать raw keys внутри печки.",Команда салона не меняет владельца физики и не крадёт руль.,Отключённый модуль салона не влияет на тягу и расход.
PHY-042,P10,Окна,CD-722 / CD-670,PHY-041,PLANNED,"Специфицировать opening 0–1, стороны, повреждение/заклинивание, прерывание и persistence; отдельная реализация после физического гейта.",Остановка действия сохраняет промежуточное открытие.,Загрузка восстанавливает каждое окно независимо от текущего target.
PHY-043,P10,Печка и питание,CD-722 / CD-670,PHY-042,PLANNED,Специфицировать источник тепла/вентилятор/питание по выбранной модели и игровому канону; не выдумывать водяной радиатор воздушного двигателя.,Вентилятор и доступное тепло независимы: включённый blower не создаёт бесплатное тепло.,EngineOff не означает мгновенное исчезновение накопленного тепла салона.
PHY-044,P10,"Шум, дождь и запотевание",CD-722 / CD-670,PHY-043,PLANNED,"Задать bounded связи открытия окон с шумом/обменом воздуха, печки с температурой; gameplay эффекты только после отдельного согласования.",Открытие окна меняет только разрешённые аудио/климатические параметры.,Запотевание и HUD не перекрывают управление или принятый контроль камеры.
PHY-045,P11,Регрессия полного контракта,CD-848 / CD-645,PHY-044,PLANNED,Свести QA-01..20 с новыми сценариями; повторить реальные input/runtime проверки текущего кандидата.,"Все необходимые проверки имеют SHA, fixture, результат и вложение.",Старый зелёный запуск не засчитывается новому executable.
PHY-046,P11,Городской человеческий гейт,CD-848 / CD-645,PHY-045,PLANNED,"Дать один билд, короткий маршрут, baseline/A/B значения и список ощущений; не менять город ради красивой демонстрации машины.","Владелец проверяет старт, торможение, слалом, парковку и реверс на живой карте.",Замечание владельца остаётся открытым даже при зелёных автоматических тестах.
PHY-047,P11,Git/Jira/Confluence в одну точку,CD-848 / CD-645,PHY-046,PLANNED,"Исправить противоречия A02/A03/A07/A08 и закрепить profile version, SHA, run, ссылку на приёмку.",В трёх ресурсах совпадает новая цель idle и физический стек.,Исторические доказательства сохранены и явно отделены от текущего статуса.
PHY-048,P11,Доставка и откат,CD-848 / CD-645,PHY-047,PLANNED,Обновить единственную точку запуска проверенного кандидата; сохранить предыдущий accepted build; проверить ярлык и живой PID.,"Ярлык запускает файл с тем же hash/SHA, что принят владельцем.",Откат возвращает предыдущую базу без изменения города и сохранений.
PHY-049,P00,Зафиксировать provenance текущих чисел,CD-921 / CD-645,PHY-004,PLANNED,Для каждого engine/gear/tire/suspension параметра отметить CURRENT_OBSERVED / OWNER_LOCKED / CANDIDATE / HISTORICAL и profile hash.,Ни один конфликтующий numeric не имеет двух текущих owners.,Manifest кандидата содержит profile/schema/hash и provenance.
PHY-050,P00,Инвентаризация источников положительной энергии,CD-921 / CD-645,PHY-003,PLANNED,Найти все AddForce/AddTorque/drive-torque/velocity writes и bounded contact helpers; доказать путь энергии.,Каждый положительный propulsion writer классифицирован.,Ни один presentation/helper слой не создаёт скрытую продольную энергию.
PHY-051,P01,Матрица Off/Stalled: flat/coast/grade,CD-921 / CD-644,PHY-006,PLANNED,"Разделить flat standstill, coast after stop и slope rolling; логировать engine/wheel torque и slope.",Off flat с нулевой начальной скоростью не самоускоряется от двигателя.,Off coast/grade сохраняет физически объяснимое движение.
PHY-052,P02,Проверить границу partial/full clutch,CD-644 / CD-659,PHY-009,PLANNED,Прогнать coupling sweep через переход external partial torque -> full Chaos gear.,Нет discontinuity/impulse в final axle torque на границе.,Оба пути используют одинаковые engine-running/health/profile limits.
PHY-053,P02,Единый RPM threshold registry,CD-641 / CD-644,PHY-010,PLANNED,Найти всех consumers idle/redzone/limiter/damage overspeed и убрать несогласованный дублирующий magic threshold.,Каждый RPM threshold имеет один profile field/derived rule.,Нормальная зона текущего профиля не вызывает damage от исторической константы.
PHY-054,P03,Golden regression принятого control grammar,CD-921 / CD-649,PHY-016,PLANNED,Автотест/fixture для Space/RMB/LMB/wheel/quick prompts/H-gate ownership до handling tuning.,Физический pass не меняет ownership state transitions.,После каждого P03-P07 candidate regression остаётся green.
PHY-055,P04,Reconciliation 180/240 vs 250/260,CD-641 / CD-921,PHY-017,PLANNED,"Собрать A/B профили с provenance, не усредняя старые docs и current code.",Финальный выбранный engine profile имеет явную owner acceptance.,"Старый numeric остаётся historical, а не вторым current profile."
PHY-056,P05,Полный XYZ CoM и inertia profile,CD-652 / CD-921,PHY-022,PLANNED,Расширить current longitudinal COM override до model-specific XYZ/inertia contract где поддерживает Chaos.,Профиль явно хранит используемые mass/CoM/inertia values.,Load change не переключает скрытый preset.
PHY-057,P07,A/B заднего grip 0.50,CD-650 / CD-648,PHY-029,PLANNED,Сравнить current rear .50 с кандидатами при одинаковом torque/load/surface; измерить slip/yaw/recovery.,"Выбранный rear grip объясним combined-grip поведением, не только burnout.",Dry/wet recovery остаётся progressive без Drift Mode.
PHY-058,P09,Provenance ledger трёх Tatra,CD-921 / CD-855,PHY-037,PLANNED,Для 613/603S1/77 заполнить SOURCE/CURRENT/CANDIDATE/UNKNOWN на geometry/mass/engine/suspension.,Ни одна unknown историческая цифра не выдана за verified fact.,613 donor dimensions не копируются в 603/77 молча.
PHY-059,P10,Air-cooled heater dependency contract,CD-722 / CD-921,PHY-043,PLANNED,Задать heater source/cabin heat/power capability без coolant assumption; подготовить state ports.,В physics core нет выдуманного radiator/coolant heater loop.,Accessory load влияет на idle только через explicit budget.
PHY-060,P11,Final authority reconciliation,CD-921 / CD-848,PHY-047,PLANNED,Свести final accepted SHA/profile/run в Git/Jira/Confluence и проверить absence stale CURRENT claims.,Git/Jira/Confluence называют один final accepted profile/version.,Непринятые historical values явно не помечены current.
