category,path,expected_count,authority,classification,notes
"CHAOS_MASS","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Startup reference-mass seed only; runtime load authority immediately overwrites via SyncLoadToChaos."
"CHAOS_MECHANICAL_SIM","Source/PinkCab/Private/Runtime/PinkCabChaosTatraPawnCockpit.cpp","1","APinkCabChaosTatraPawn::SyncCockpitToChaos","safety_disable_only","Post-bridge engine-capability safety cutoff; can only force mechanical sim false, never enable."
"CHAOS_MECHANICAL_SIM","Source/PinkCab/Private/Runtime/PinkCabChaosTatraPawnState.cpp","1","APinkCabChaosTatraPawn::ApplyVehicleHit","safety_disable_only","Damage/capability safety cutoff; can only force mechanical sim false, never enable."
"CHAOS_MECHANICAL_SIM","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosCockpitBridge.cpp","1","FPinkCabChaosCockpitBridge","authoritative_physical","Authoritative engine-running mechanical-sim writer; may enable or disable from semantic ignition state."
"CHAOS_REVERSE_RATIOS","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Versioned engine/transmission configuration seed applied before runtime control/load composition."
"CHAOS_STABILIZE_ASSIST_ENABLE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","assist_lock","Startup no-assist lock; must remain Enabled=false and is guarded against nonfalse assignment."
"CHAOS_STEERING_INPUT","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosVehicleDynamicsProvider.cpp","1","FPinkCabChaosVehicleDynamicsProvider","authoritative_physical","Final per-frame Chaos actuation surface; reads composed control state and writes Chaos inputs/torques."
"CHAOS_TARGET_GEAR","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosCockpitBridge.cpp","1","FPinkCabChaosCockpitBridge","authoritative_physical","Translates authoritative engaged gear/coupling state to the single Chaos target-gear write."
"CHAOS_TARGET_ROTATION_ASSIST_ENABLE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","assist_lock","Startup no-assist lock; must remain Enabled=false and is guarded against nonfalse assignment."
"CHAOS_THROTTLE_INPUT","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosVehicleDynamicsProvider.cpp","1","FPinkCabChaosVehicleDynamicsProvider","authoritative_physical","Final per-frame Chaos actuation surface; reads composed control state and writes Chaos inputs/torques."
"CHAOS_TORQUE_ASSIST_ENABLE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","assist_lock","Startup no-assist lock; must remain Enabled=false and is guarded against nonfalse assignment."
"CHAOS_TORQUE_COMBINE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosVehicleDynamicsProvider.cpp","1","FPinkCabChaosVehicleDynamicsProvider","authoritative_physical","Final per-frame Chaos actuation surface; reads composed control state and writes Chaos inputs/torques."
"CHAOS_WHEEL_BRAKE_TORQUE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosVehicleDynamicsProvider.cpp","1","FPinkCabChaosVehicleDynamicsProvider","authoritative_physical","Final per-frame Chaos actuation surface; reads composed control state and writes Chaos inputs/torques."
"CHAOS_WHEEL_DRIVE_TORQUE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosVehicleDynamicsProvider.cpp","1","FPinkCabChaosVehicleDynamicsProvider","authoritative_physical","Final per-frame Chaos actuation surface; reads composed control state and writes Chaos inputs/torques."
"COCKPIT_SELECTED_GEAR","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","3","FPinkCabVehicleControlRuntime","semantic_composer","Synchronizes cockpit-selected gear with gearbox requested/engaged state during manipulation/cancel/restore."
"COCKPIT_SELECTED_GEAR","Source/PinkCabVehicle/Private/Vehicle/PinkCabCockpitState.cpp","1","FPinkCabCockpitState","semantic_authority","Cockpit selected/requested gear store; engagement remains GearboxController authority."
"CONTROL_CLUTCH","Source/PinkCab/Private/Vehicle/PinkCabVehicleInputFrame.cpp","1","FPinkCabVehicleInputFrame","input_stage","Raw/semantic input conversion stage before steering/drivetrain/health composition."
"CONTROL_CLUTCH","Source/PinkCabVehicle/Public/Vehicle/PinkCabVehicleControlState.h","1","FPinkCabVehicleControlState","transport_store","Inline bounded transport-state setter; contains commands but does not actuate Chaos by itself."
"CONTROL_DRIVELINE","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","3","FPinkCabVehicleControlRuntime","semantic_composer","Authoritative semantic control composition before Chaos bridge/provider actuation."
"CONTROL_DRIVELINE","Source/PinkCabVehicle/Public/Vehicle/PinkCabVehicleControlState.h","1","FPinkCabVehicleControlState","transport_store","Inline bounded transport-state setter; contains commands but does not actuate Chaos by itself."
"CONTROL_EXTERNAL_REAR_TORQUE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosCockpitBridge.cpp","1","FPinkCabChaosCockpitBridge","derived_torque_bridge","Derives current partial-clutch external rear torque; P02 owns unification with fully coupled torque path."
"CONTROL_EXTERNAL_REAR_TORQUE","Source/PinkCabVehicle/Public/Vehicle/PinkCabVehicleControlState.h","1","FPinkCabVehicleControlState","transport_store","Inline bounded transport-state setter; contains commands but does not actuate Chaos by itself."
"CONTROL_EXTERNAL_REAR_TORQUE","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","1","FPinkCabVehicleControlRuntime","engine_transition_cleanup","Clears stale partial-clutch external torque on Off/Stalled/restart boundaries without touching chassis velocity."
"CONTROL_RESOLVED_ENGINE_ACTUATION","Source/PinkCabVehicle/Public/Vehicle/PinkCabVehicleControlState.h","1","FPinkCabVehicleControlState","transport_store","Stores the single permission-gated post-health/post-limiter engine actuation result for downstream torque paths."
"CONTROL_RESOLVED_ENGINE_ACTUATION","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosCockpitBridge.cpp","1","FPinkCabChaosCockpitBridge","authoritative_engine_resolver","Resolves Running permission, final throttle and available combustion torque exactly once before partial/full drivetrain actuation."
"CONTROL_RESOLVED_ENGINE_ACTUATION","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","1","FPinkCabVehicleControlRuntime","engine_transition_cleanup","Clears resolved propulsion state on stall/off/restart boundary; does not actuate Chaos or chassis motion."
"CONTROL_HANDBRAKE","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","3","FPinkCabVehicleControlRuntime","semantic_composer","Authoritative semantic control composition before Chaos bridge/provider actuation."
"CONTROL_HANDBRAKE","Source/PinkCab/Private/Vehicle/PinkCabVehicleInputFrame.cpp","1","FPinkCabVehicleInputFrame","input_stage","Raw/semantic input conversion stage before steering/drivetrain/health composition."
"CONTROL_HANDBRAKE","Source/PinkCabVehicle/Public/Vehicle/PinkCabVehicleControlState.h","1","FPinkCabVehicleControlState","transport_store","Inline bounded transport-state setter; contains commands but does not actuate Chaos by itself."
"CONTROL_STEERING","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","1","FPinkCabVehicleControlRuntime","semantic_composer","Authoritative semantic control composition before Chaos bridge/provider actuation."
"CONTROL_STEERING","Source/PinkCab/Private/Vehicle/PinkCabVehicleInputFrame.cpp","1","FPinkCabVehicleInputFrame","input_stage","Raw/semantic input conversion stage before steering/drivetrain/health composition."
"CONTROL_STEERING","Source/PinkCabVehicle/Private/Vehicle/PinkCabVehicleHealthService.cpp","1","FPinkCabVehicleHealthService","capability_clamp","Health capability clamp may zero unavailable steering before provider actuation; it does not create steering input."
"CONTROL_STEERING","Source/PinkCabVehicle/Public/Vehicle/PinkCabVehicleControlState.h","1","FPinkCabVehicleControlState","transport_store","Inline bounded transport-state setter; contains commands but does not actuate Chaos by itself."
"CONTROL_TORQUE_CAPACITY","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","1","FPinkCabVehicleControlRuntime","semantic_composer","Authoritative semantic control composition before Chaos bridge/provider actuation."
"CONTROL_TORQUE_CAPACITY","Source/PinkCabVehicle/Public/Vehicle/PinkCabVehicleControlState.h","1","FPinkCabVehicleControlState","transport_store","Inline bounded transport-state setter; contains commands but does not actuate Chaos by itself."
"GEAR_FORCE_STATE","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","1","FPinkCabVehicleControlRuntime","controlled_restore","Controlled request/engaged gear restore/resync API; delegates actual state to GearboxController."
"GEAR_FORCE_STATE","Source/PinkCabVehicle/Private/Vehicle/PinkCabGearboxController.cpp","1","FPinkCabGearboxController","semantic_authority","Authoritative requested/engaged gear state and validator/retry state; Chaos target write occurs only in cockpit bridge."
"GEAR_REQUEST","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","1","FPinkCabVehicleControlRuntime","command_router","Routes selected gear through GearboxController validator; does not write Chaos target gear directly."
"GEAR_REQUEST","Source/PinkCabVehicle/Private/Vehicle/PinkCabGearboxController.cpp","3","FPinkCabGearboxController","semantic_authority","Authoritative requested/engaged gear state and validator/retry state; Chaos target write occurs only in cockpit bridge."
"HEALTH_BRAKE_TEMP","Source/PinkCabVehicle/Private/Vehicle/PinkCabDrivetrainCondition.cpp","1","FPinkCabDrivetrainCondition","thermal_model","Updates drivetrain thermal state through VehicleHealthState; P07 owns work-based thermal correction."
"HEALTH_BRAKE_TEMP","Source/PinkCabVehicle/Private/Vehicle/PinkCabVehicleHealthState.cpp","1","FPinkCabVehicleHealthState","health_store","Authoritative bounded thermal-state setter."
"HEALTH_CLUTCH_TEMP","Source/PinkCabVehicle/Private/Vehicle/PinkCabDrivetrainCondition.cpp","1","FPinkCabDrivetrainCondition","thermal_model","Updates drivetrain thermal state through VehicleHealthState; P07 owns work-based thermal correction."
"HEALTH_CLUTCH_TEMP","Source/PinkCabVehicle/Private/Vehicle/PinkCabVehicleHealthState.cpp","1","FPinkCabVehicleHealthState","health_store","Authoritative bounded thermal-state setter."
"HEALTH_DAMAGE","Source/PinkCabVehicle/Private/Vehicle/PinkCabDrivetrainCondition.cpp","4","FPinkCabDrivetrainCondition","drivetrain_wear_model","Writes causal gearbox/clutch/brake wear through VehicleHealthState; P07 owns work-based thermal correction."
"HEALTH_DAMAGE","Source/PinkCabVehicle/Private/Vehicle/PinkCabVehicleHealthService.cpp","1","FPinkCabVehicleHealthService","damage_service","Maps validated physical hit to bounded VehicleHealthState damage."
"HEALTH_DAMAGE","Source/PinkCabVehicle/Private/Vehicle/PinkCabVehicleHealthState.cpp","1","FPinkCabVehicleHealthState","health_store","Authoritative bounded health-channel damage mutator."
"HEALTH_REPAIR","Source/PinkCab/Private/Service/PinkCabRepairService.cpp","1","FPinkCabRepairService","repair_service","Explicit service transaction restore path; delegates bounded mutation to VehicleHealthState."
"HEALTH_REPAIR","Source/PinkCabVehicle/Private/Vehicle/PinkCabVehicleHealthState.cpp","1","FPinkCabVehicleHealthState","health_store","Authoritative bounded health-channel restore mutator."
"IGNITION_STALL","Source/PinkCab/Private/Vehicle/PinkCabVehicleControlRuntime.cpp","1","FPinkCabVehicleControlRuntime","causal_transition","Detects drivetrain stall outcome and requests authoritative CockpitState stall transition."
"IGNITION_STALL","Source/PinkCabVehicle/Private/Vehicle/PinkCabCockpitState.cpp","1","FPinkCabCockpitState","semantic_authority","Authoritative semantic ignition-state store/mutator."
"IGNITION_START","Source/PinkCab/Private/Vehicle/PinkCabCockpitInteractionRouter.cpp","1","FPinkCabCockpitInteractionRouter","command_router","Routes authored cockpit ignition command to CockpitState; no direct Chaos write."
"IGNITION_START","Source/PinkCabVehicle/Private/Vehicle/PinkCabCockpitState.cpp","1","FPinkCabCockpitState","semantic_authority","Authoritative semantic ignition-state store/mutator."
"IGNITION_STOP","Source/PinkCab/Private/Vehicle/PinkCabCockpitInteractionRouter.cpp","1","FPinkCabCockpitInteractionRouter","command_router","Routes authored cockpit ignition command to CockpitState; no direct Chaos write."
"IGNITION_STOP","Source/PinkCabVehicle/Private/Vehicle/PinkCabCockpitState.cpp","1","FPinkCabCockpitState","semantic_authority","Authoritative semantic ignition-state store/mutator."
"LOAD_CREW","Source/PinkCab/Private/Runtime/PinkCabChaosTatraPawn.cpp","1","APinkCabChaosTatraPawn constructor","initialization_source","Initializes logical fuel/crew load before SyncLoadToChaos; not a direct Chaos mass write."
"LOAD_CREW","Source/PinkCabVehicle/Private/Vehicle/PinkCabVehicleLoadState.cpp","1","FPinkCabVehicleLoadState","load_store","Authoritative logical load-state mutator; Chaos mass/CoM is applied only through ChaosLoadBridge."
"LOAD_FUEL","Source/PinkCab/Private/Runtime/PinkCabChaosTatraPawn.cpp","1","APinkCabChaosTatraPawn constructor","initialization_source","Initializes logical fuel/crew load before SyncLoadToChaos; not a direct Chaos mass write."
"LOAD_FUEL","Source/PinkCab/Private/Runtime/PinkCabChaosTatraPawnState.cpp","2","APinkCabChaosTatraPawn::SetFuelMassKg","load_api","Public bounded fuel-load mutation plus delegation to VehicleLoadState and SyncLoadToChaos with rollback on failure."
"LOAD_FUEL","Source/PinkCabVehicle/Private/Vehicle/PinkCabVehicleLoadState.cpp","1","FPinkCabVehicleLoadState","load_store","Authoritative logical load-state mutator; Chaos mass/CoM is applied only through ChaosLoadBridge."
